sentiment_score,sentiment_label,Comments,Likes,Retweets,price_trend_label
0.0,0,39,46,697,0
0.0,0,53,79,1098,0
0.3595,1,63,70,1688,1
0.7003,1,61,84,2814,0
0.6908,1,68,81,1550,0
0.743,1,91,79,2778,0
0.0,0,174,356,5103,0
0.0,0,57,57,1086,0
0.0,0,92,126,1674,-1
0.212,1,409,395,2610,1
-0.5251,-1,1373,1115,4874,0
0.6908,1,86,133,1980,0
0.0,0,80,221,2657,1
-0.5255,-1,111,88,1549,-1
0.0,0,115,213,1595,0
0.0,0,111,241,1499,0
0.0,0,135,315,1664,0
0.4019,1,294,161,3918,0
0.0,0,42,39,1860,0
0.0,0,52,66,2089,0
0.4019,1,47,38,815,-1
0.5974,1,3570,9347,124700,1
0.0,0,776,8115,88800,0
0.0,0,427,1274,39800,0
0.4215,1,100,155,5294,0
-0.765,-1,424,1229,13900,0
0.4588,1,164,224,6602,0
0.0,0,52,73,3092,0
0.6249,1,127,217,6726,1
0.0258,0,349,718,13200,0
0.8316,1,143,147,627,0
0.5187,1,211,278,3971,0
0.0,0,439,943,9951,1
0.7241,1,130,338,5684,0
-0.0572,-1,53,26,897,0
0.0,0,51,50,1024,0
-0.7063,-1,141,256,1996,0
-0.1027,-1,205,263,4714,0
0.9339,1,194,143,1914,0
0.6486,1,35,28,606,0
0.4926,1,46,132,2244,1
0.0,0,112,114,2126,0
-0.1027,-1,129,68,1182,0
0.5095,1,99,162,1494,1
0.7264,1,98,167,2143,0
0.8519,1,246,248,2668,0
0.2023,1,180,235,1190,0
-0.5994,-1,130,186,899,0
-0.3818,-1,215,153,2599,0
0.0,0,139,181,1513,0
0.5267,1,217,190,1173,0
0.0,0,71,71,853,0
0.0,0,35,17,262,0
0.34,1,51,55,406,0
0.0772,1,1814,6680,91500,0
0.0,0,79,132,4550,0
0.0,0,49,32,1228,0
0.9517,1,1616,6809,44800,0
0.6249,1,172,516,7287,0
0.0258,0,381,287,5998,0
0.0,0,111,157,5665,0
0.0,0,272,819,10800,0
0.9197,1,266,684,16500,0
0.0,0,460,1666,14300,0
0.5093,1,164,134,2442,0
-0.2023,-1,560,463,8487,0
0.0,0,217,514,5418,0
-0.6378,-1,74,62,727,0
0.4939,1,48,28,531,0
0.5574,1,204,188,1491,0
0.0258,0,90,138,1914,0
0.4019,1,65,40,745,0
0.0,0,1523,3877,72300,0
0.0,0,396,731,17100,0
0.0,0,116,138,4681,0
0.4019,1,122,92,3154,0
0.4019,1,50,38,726,0
0.4019,1,19,28,592,0
0.0,0,1726,27300,216300,0
0.6808,1,11800,74600,290700,0
0.0,0,512,1051,18000,0
0.0,0,602,1471,12100,0
0.8074,1,143,76,1936,0
0.296,1,67,74,2021,0
0.3818,1,229,893,15300,0
0.0,0,208,225,4071,0
0.8,1,29,76,1483,0
0.3164,1,93,228,3755,0
-0.296,-1,115,199,2742,0
0.4215,1,40,54,1657,0
0.4215,1,37,39,796,0
0.7959,1,123,234,6528,0
0.7777,1,367,561,13600,0
0.6565,1,59,88,1509,0
-0.4767,-1,384,334,6151,0
-0.3182,-1,120,170,3749,0
-0.3182,-1,128,397,6310,0
0.4019,1,70,107,1818,0
0.0836,1,54,53,794,0
0.09,1,112,212,3970,0
-0.7845,-1,227,159,1810,0
0.2144,1,111,77,1138,0
-0.7351,-1,111,342,4423,0
0.4019,1,59,55,1251,0
0.296,1,99,75,791,0
0.4215,1,78,67,1188,0
0.0,0,94,93,1498,0
-0.1036,-1,72,154,2925,0
0.7082,1,95,217,1796,0
-0.4417,-1,82,133,1811,0
0.0,0,154,113,2375,0
0.6597,1,47,72,1257,0
0.2023,1,32,69,1275,0
0.6369,1,91,53,711,0
0.0,0,448,745,11500,0
0.0,0,171,957,19400,1
0.0,0,372,659,11300,0
0.0,0,68,71,606,0
0.296,1,74,50,1616,0
0.0,0,87,68,1855,0
0.5256,1,2257,15700,208400,0
0.0,0,3743,7404,119200,0
0.0,0,1778,12100,83600,0
0.3182,1,165,134,3641,0
0.2023,1,190,309,7694,0
0.5859,1,61,73,3068,0
0.1531,1,169,473,6042,0
